item_id,category_fa,item_name_fa,description_fa,available,base_price_toman,starting_price_toman,starting_price_irr,option_group_fa,option_type,option_choice_fa,option_price_delta_toman,option_price_toman,item_url,image_url,updated_at
7b0f19ed-3be8-4a07-8db2-674a71f827ec,نوشیدنی گرم بر پایه قهوه,اسپرسو,عصاره گیری شده از دان قهوه,true,160000,160000,1600000,درصد عربیکا,variant,صد عربیکا,30000,190000,https://bashoor.ir/menu/item/7b0f19ed-3be8-4a07-8db2-674a71f827ec/%D8%A7%D8%B3%D9%BE%D8%B1%D8%B3%D9%88,https://bashoor.ir/uploads/img_1786745033303_589638686.webp,2026-08-26T16:17:42.168Z
7b0f19ed-3be8-4a07-8db2-674a71f827ec,نوشیدنی گرم بر پایه قهوه,اسپرسو,عصاره گیری شده از دان قهوه,true,160000,160000,1600000,درصد عربیکا,variant,پنجاه عربیکا,0,160000,https://bashoor.ir/menu/item/7b0f19ed-3be8-4a07-8db2-674a71f827ec/%D8%A7%D8%B3%D9%BE%D8%B1%D8%B3%D9%88,https://bashoor.ir/uploads/img_1786745033303_589638686.webp,2026-08-26T16:17:42.168Z
cb25eb0b-5187-4081-9f03-37f5939cf476,نوشیدنی گرم بر پایه قهوه,امریکانو,اسپرسو به همراه آب داغ,true,170000,170000,1700000,درصد عربیکا,variant,صد عربیکا,30000,200000,https://bashoor.ir/menu/item/cb25eb0b-5187-4081-9f03-37f5939cf476/%D8%A7%D9%85%D8%B1%DB%8C%DA%A9%D8%A7%D9%86%D9%88,https://bashoor.ir/uploads/img_1786745033486_370302571.webp,2026-08-26T16:18:04.010Z
cb25eb0b-5187-4081-9f03-37f5939cf476,نوشیدنی گرم بر پایه قهوه,امریکانو,اسپرسو به همراه آب داغ,true,170000,170000,1700000,درصد عربیکا,variant,پنجاه عربیکا,0,170000,https://bashoor.ir/menu/item/cb25eb0b-5187-4081-9f03-37f5939cf476/%D8%A7%D9%85%D8%B1%DB%8C%DA%A9%D8%A7%D9%86%D9%88,https://bashoor.ir/uploads/img_1786745033486_370302571.webp,2026-08-26T16:18:04.010Z
ea645fcc-c151-4b00-9fff-474a8b967157,نوشیدنی گرم بر پایه قهوه,لاته,اسپرسو به همراه شیر گرم,true,245000,245000,2450000,درصد عربیکا,variant,صد عربیکا,30000,275000,https://bashoor.ir/menu/item/ea645fcc-c151-4b00-9fff-474a8b967157/%D9%84%D8%A7%D8%AA%D9%87,https://bashoor.ir/uploads/img_1786745033660_93027472.webp,2026-08-26T16:18:27.308Z
ea645fcc-c151-4b00-9fff-474a8b967157,نوشیدنی گرم بر پایه قهوه,لاته,اسپرسو به همراه شیر گرم,true,245000,245000,2450000,درصد عربیکا,variant,پنجاه عربیکا,0,245000,https://bashoor.ir/menu/item/ea645fcc-c151-4b00-9fff-474a8b967157/%D9%84%D8%A7%D8%AA%D9%87,https://bashoor.ir/uploads/img_1786745033660_93027472.webp,2026-08-26T16:18:27.308Z
3d51a120-5600-4ac6-ae15-3ab40157b6c5,نوشیدنی گرم بر پایه قهوه,کاپوچینو,اسپرسو به همراه شیر گرم و فوم شیر,true,245000,245000,2450000,درصد عربیکا,variant,صد عربیکا,30000,275000,https://bashoor.ir/menu/item/3d51a120-5600-4ac6-ae15-3ab40157b6c5/%DA%A9%D8%A7%D9%BE%D9%88%DA%86%DB%8C%D9%86%D9%88,https://bashoor.ir/uploads/img_1786745033819_312214712.webp,2026-08-26T16:18:53.687Z
3d51a120-5600-4ac6-ae15-3ab40157b6c5,نوشیدنی گرم بر پایه قهوه,کاپوچینو,اسپرسو به همراه شیر گرم و فوم شیر,true,245000,245000,2450000,درصد عربیکا,variant,پنجاه عربیکا,0,245000,https://bashoor.ir/menu/item/3d51a120-5600-4ac6-ae15-3ab40157b6c5/%DA%A9%D8%A7%D9%BE%D9%88%DA%86%DB%8C%D9%86%D9%88,https://bashoor.ir/uploads/img_1786745033819_312214712.webp,2026-08-26T16:18:53.687Z
8949dee1-dc96-4d06-9652-9f800189185a,نوشیدنی گرم بر پایه قهوه,موکا,لاته با طعم شکلات,true,295000,295000,2950000,درصد عربیکا,variant,صد عربیکا,30000,325000,https://bashoor.ir/menu/item/8949dee1-dc96-4d06-9652-9f800189185a/%D9%85%D9%88%DA%A9%D8%A7,https://bashoor.ir/uploads/img_1786745033971_138226741.webp,2026-08-26T16:19:18.738Z
8949dee1-dc96-4d06-9652-9f800189185a,نوشیدنی گرم بر پایه قهوه,موکا,لاته با طعم شکلات,true,295000,295000,2950000,درصد عربیکا,variant,پنجاه عربیکا,0,295000,https://bashoor.ir/menu/item/8949dee1-dc96-4d06-9652-9f800189185a/%D9%85%D9%88%DA%A9%D8%A7,https://bashoor.ir/uploads/img_1786745033971_138226741.webp,2026-08-26T16:19:18.738Z
d5ce63ae-469e-4c98-895d-a367cfe75f00,نوشیدنی گرم بر پایه قهوه,موکا کِرِم,موکا به همراه خامه,true,345000,345000,3450000,دصد عربیکا,variant,صد عربیکا,30000,375000,https://bashoor.ir/menu/item/d5ce63ae-469e-4c98-895d-a367cfe75f00/%D9%85%D9%88%DA%A9%D8%A7-%DA%A9%D8%B1%D9%85,https://bashoor.ir/uploads/img_1786745034127_765914226.webp,2026-08-26T16:19:38.664Z
d5ce63ae-469e-4c98-895d-a367cfe75f00,نوشیدنی گرم بر پایه قهوه,موکا کِرِم,موکا به همراه خامه,true,345000,345000,3450000,دصد عربیکا,variant,پنجاه عربیکا,0,345000,https://bashoor.ir/menu/item/d5ce63ae-469e-4c98-895d-a367cfe75f00/%D9%85%D9%88%DA%A9%D8%A7-%DA%A9%D8%B1%D9%85,https://bashoor.ir/uploads/img_1786745034127_765914226.webp,2026-08-26T16:19:38.664Z
